,설립구분,지역,학교명,기준연도,출생년도,학년,구분,학생수
683608,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,11,1학년,in,1
689860,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,11,1학년,out,1
696112,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,11,1학년,ttl,2
98169,공립,충청북도 단양군,가곡초등학교대곡분교장,2024,12,6학년,in,4
104471,공립,충청북도 단양군,가곡초등학교대곡분교장,2024,12,6학년,out,4
110773,공립,충청북도 단양군,가곡초등학교대곡분교장,2024,12,6학년,ttl,7
192755,공립,충청북도 단양군,가곡초등학교대곡분교장,2023,12,5학년,in,2
199062,공립,충청북도 단양군,가곡초등학교대곡분교장,2023,12,5학년,out,3
205369,공립,충청북도 단양군,가곡초등학교대곡분교장,2023,12,5학년,ttl,7
287371,공립,충청북도 단양군,가곡초등학교대곡분교장,2022,12,4학년,in,3
293680,공립,충청북도 단양군,가곡초등학교대곡분교장,2022,12,4학년,out,0
299989,공립,충청북도 단양군,가곡초등학교대곡분교장,2022,12,4학년,ttl,6
381997,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,12,3학년,in,1
388306,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,12,3학년,out,0
394615,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,12,3학년,ttl,4
476548,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,12,2학년,in,2
482837,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,12,2학년,out,0
489126,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,12,2학년,ttl,3
570861,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,12,1학년,in,0
577126,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,12,1학년,out,0
583391,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,12,1학년,ttl,2
552017,공립,충청북도 단양군,가곡초등학교보발분교장,2020,08,6학년,in,0
558306,공립,충청북도 단양군,가곡초등학교보발분교장,2020,08,6학년,out,0
564595,공립,충청북도 단양군,가곡초등학교보발분교장,2020,08,6학년,ttl,0
646042,공립,충청북도 단양군,가곡초등학교보발분교장,2019,08,5학년,in,0
652307,공립,충청북도 단양군,가곡초등학교보발분교장,2019,08,5학년,out,0
658572,공립,충청북도 단양군,가곡초등학교보발분교장,2019,08,5학년,ttl,0
739877,공립,충청북도 단양군,가곡초등학교보발분교장,2018,08,4학년,in,0
746129,공립,충청북도 단양군,가곡초등학교보발분교장,2018,08,4학년,out,4
752381,공립,충청북도 단양군,가곡초등학교보발분교장,2018,08,4학년,ttl,3
833589,공립,충청북도 단양군,가곡초등학교보발분교장,2017,08,3학년,in,0
839832,공립,충청북도 단양군,가곡초등학교보발분교장,2017,08,3학년,out,1
846075,공립,충청북도 단양군,가곡초등학교보발분교장,2017,08,3학년,ttl,4
927137,공립,충청북도 단양군,가곡초등학교보발분교장,2016,08,2학년,in,1
933356,공립,충청북도 단양군,가곡초등학교보발분교장,2016,08,2학년,out,1
939575,공립,충청북도 단양군,가곡초등학교보발분교장,2016,08,2학년,ttl,3
1020406,공립,충청북도 단양군,가곡초등학교보발분교장,2015,08,1학년,in,0
1026617,공립,충청북도 단양군,가곡초등학교보발분교장,2015,08,1학년,out,0
1032828,공립,충청북도 단양군,가곡초등학교보발분교장,2015,08,1학년,ttl,4
438779,공립,충청북도 단양군,가곡초등학교보발분교장,2021,09,6학년,in,3
445088,공립,충청북도 단양군,가곡초등학교보발분교장,2021,09,6학년,out,0
451397,공립,충청북도 단양군,가곡초등학교보발분교장,2021,09,6학년,ttl,3
533150,공립,충청북도 단양군,가곡초등학교보발분교장,2020,09,5학년,in,1
539439,공립,충청북도 단양군,가곡초등학교보발분교장,2020,09,5학년,out,0
545728,공립,충청북도 단양군,가곡초등학교보발분교장,2020,09,5학년,ttl,1
627247,공립,충청북도 단양군,가곡초등학교보발분교장,2019,09,4학년,in,0
633512,공립,충청북도 단양군,가곡초등학교보발분교장,2019,09,4학년,out,0
639777,공립,충청북도 단양군,가곡초등학교보발분교장,2019,09,4학년,ttl,1
721121,공립,충청북도 단양군,가곡초등학교보발분교장,2018,09,3학년,in,0
727373,공립,충청북도 단양군,가곡초등학교보발분교장,2018,09,3학년,out,1
733625,공립,충청북도 단양군,가곡초등학교보발분교장,2018,09,3학년,ttl,2
814860,공립,충청북도 단양군,가곡초등학교보발분교장,2017,09,2학년,in,0
