,학교명,학교도로명 주소,폐교여부,new위도,new경도
178,경덕초등학교,충청북도 청주시 흥덕구 장구봉로 36,N,36.6210840,127.4378410
179,경산초등학교,충청북도 청주시 흥덕구 경산로 82-12,N,36.6254170,127.4405031
180,교동초등학교,충청북도 청주시 상당구 용암로 6,N,36.6105836,127.5104982
181,금천초등학교,충청북도 청주시 상당구 수영로 248,N,36.6272928,127.5057274
182,남성초등학교,충청북도 청주시 서원구 청남로 1964,N,36.6084990,127.4838870
183,남평초등학교,충청북도 청주시 서원구 월평로 35,N,36.6117990,127.4887750
184,내곡초등학교,충청북도 청주시 흥덕구 내곡로 6,Y,36.660199,127.428888
185,청주내덕초등학교,충청북도 청주시 청원구 안덕벌로52번길 22-1,N,36.6560903,127.4950662
186,청주대성초등학교,충청북도 청주시 청원구 대성로300번길 34,N,36.6536070,127.4894000
187,덕벌초등학교,충청북도 청주시 청원구 1순환로339번길 86,N,36.6552570,127.4790380
188,덕성초등학교,충청북도 청주시 청원구 공항로 113,N,36.6672307,127.4841602
189,동주초등학교,충청북도 청주시 상당구 호미로 269,N,36.6303570,127.5101500
190,모충초등학교,충청북도 청주시 서원구 쌍샘로 49,N,36.6256844,127.4783994
191,복대초등학교,충청북도 청주시 흥덕구 홍골로 58,N,36.6140217,127.4299317
192,봉명초등학교,충청북도 청주시 흥덕구 봉명로141번길 3,N,36.6399150,127.4564250
193,봉정초등학교,충청북도 청주시 흥덕구 월명로140번길 37,N,36.6479320,127.4568130
194,북일초등학교,충청북도 청주시 청원구 주중로 13-19,N,36.6895289,127.4858060
195,분평초등학교,충청북도 청주시 서원구 무심서로 205,N,36.6135607,127.4930609
196,사직초등학교,충청북도 청주시 서원구 남사로 25,N,36.6309570,127.4777380
197,상당초등학교,충청북도 청주시 상당구 동남로 151,N,36.6080295,127.5202148
198,새터초등학교,충청북도 청주시 청원구 새터로 224,N,36.6672221,127.4710615
199,서원초등학교,충청북도 청주시 흥덕구 가로수로 1340-6,N,36.6317320,127.4420750
200,서촌초등학교,충청북도 청주시 흥덕구 동촌로 126,N,36.6505570,127.3994500
201,석교초등학교,충청북도 청주시 상당구 대성로 14,N,36.6267429,127.4941729
202,수곡초등학교,충청북도 청주시 서원구 수곡로 73,N,36.6183924,127.4711181
203,용담초등학교,충청북도 청주시 상당구 용담로105번길 32,N,36.6363369,127.5013846
204,용담초등학교현양원분교장,충청북도 청주시 상당구 산성로658번길 301,N,36.6423404,127.5386250
205,용암초등학교,충청북도 청주시 상당구 원봉로 55,N,36.6143847,127.5079441
206,우암초등학교,충청북도 청주시 청원구 상당로 204,N,36.6474243,127.4904977
207,운동초등학교,충청북도 청주시 상당구 운동로 31,N,36.6065340,127.5129792
208,운천초등학교,충청북도 청주시 흥덕구 무심서로 721,N,36.6544457,127.4733132
209,원봉초등학교,충청북도 청주시 상당구 월평로 153번길 25,N,36.6127990,127.5018500
210,원평초등학교,충청북도 청주시 서원구 원마루로 32,N,36.6113150,127.4955630
211,율량초등학교,충청북도 청주시 청원구 율봉로212번길 14,N,36.6679681,127.4916089
212,주성초등학교,충청북도 청주시 상당구 교서로 45,N,36.6414240,127.4852000
213,중앙초등학교,충청북도 청주시 청원구 율봉로 287,N,36.6673086,127.5007750
214,증안초등학교,충청북도 청주시 흥덕구 진재로47번길 45,N,36.6345791,127.4279377
215,진흥초등학교,충청북도 청주시 흥덕구 증안로 107,N,36.6360787,127.4347913
216,창신초등학교,충청북도 청주시 서원구 1순환로709번길 44,N,36.6294671,127.4643882
217,청남초등학교,충청북도 청주시 상당구 단재로 109,N,36.6201320,127.4974130
218,풍광초등학교,충청북도 청주시 흥덕구 풍산로47번길 58,N,36.6298490,127.4351380
219,한벌초등학교,충청북도 청주시 서원구 흥덕로 16,N,36.6370650,127.4747380
220,한솔초등학교,충청북도 청주시 서원구 구룡산로 291,N,36.6186516,127.4758999
221,흥덕초등학교,충청북도 청주시 흥덕구 흥덕로 121,N,36.6453820,127.4731130
222,중앙탑초등학교,충청북도 충주시 중앙탑면 첨단산업로 670,Y,37.0273090,127.8555032
223,가흥초등학교,충청북도 충주시 중앙탑면 가곡로 2037,N,37.0767580,127.8536500
224,강천초등학교,충청북도 충주시 앙성면 학교말2길 50,Y,37.1631382,127.7525267
225,금가초등학교,충청북도 충주시 금가면 가마골길 16,N,37.0442373,127.9224283
226,남한강초등학교,충청북도 충주시 사직산6길 20,Y,36.9694819,127.9269675
227,노은초등학교,충청북도 충주시 노은면 연하중앙길 27,N,37.0485170,127.7553000
228,노은초등학교수상분교장,충청북도 충주시 노은면 감노로 1055,Y,37.0505138,127.7156918
229,단월초등학교,충청북도 충주시 신대2길 12,N,36.9480808,127.8998693
230,달천초등학교,충청북도 충주시 중원대로 3846,N,36.9633181,127.8792890
231,달천초등학교매현분교장,충청북도 충주시 대소원면 매현새터2길 10,N,36.9079685,127.8704423
232,대미초등학교,충청북도 충주시 동량면 대미길 62,N,37.0338250,127.9291000
233,대소원초등학교,충청북도 충주시 대소원면 대소새마을길 10,Y,36.9755899,127.8252968
234,덕신초등학교,충청북도 충주시 주덕읍 매남구술길 12,N,36.9938372,127.7839348
235,동락초등학교,충청북도 충주시 신니면 신덕로 301,Y,37.0034500,127.6861380
236,동량초등학교,충청북도 충주시 동량면 대전조돈길 395,N,37.0277863,127.9654839
237,엄정초등학교목계분교장,충청북도 충주시 엄정면 안암목계길 11,Y,37.0813513,127.8907311
238,목행초등학교,충청북도 충주시 목행초길 16,N,37.0078000,127.9188630
239,산척초등학교,충청북도 충주시 산척면 천등박달로 134,N,37.0798330,127.9576880
240,세성초등학교,충청북도 충주시 살미면 매남이길 31,N,36.9049854,127.9681946
241,소태초등학교,충청북도 충주시 소태면 쟁골2길 1,N,37.1110740,127.8467130
242,수안보초등학교,충청북도 충주시 수안보면 동진이1길 24,N,36.8449336,127.9993799
243,수회초등학교,충청북도 충주시 수안보면 수회리로 88,N,36.8776334,127.9742447
244,앙성초등학교,충청북도 충주시 앙성면 내용2길 38,N,37.1065184,127.7578674
