,학교명,위도,경도,학교도로명 주소,폐교여부
166,신송초등학교,36.575392,127.493437,충청북도 청주시 상당구 남일면 신송2길 46,N
167,오창초등학교,36.7412708882,127.4574448418,충청북도 청주시 청원구 오창읍 팔결로 690,N
168,옥산초등학교,36.6633195,127.3728418,충청북도 청주시 흥덕구 옥산면 옥산시내1길 19,N
169,옥산초등학교소로분교장,36.6886971,127.4037826,충청북도 청주시 흥덕구 옥산면 소로1길 65,Y
170,옥포초등학교,36.4969654,127.4158333,충청북도 청주시 서원구 현도면 죽전1길 45-7,N
171,외천초등학교,36.540986,127.432369,충북 청원군 부용면 부용외천2길 13-2,Y
172,청원초등학교,36.709724,127.43081,충청북도 청주시 청원구 오창읍 과학산업3로 228,N
173,행정초등학교,36.53662,127.5319474,충청북도 청주시 상당구 가덕면 상장인차로 277,N
174,현도초등학교,36.47615,127.426706,충청북도 청주시 서원구 현도면 청남로 248,N
175,가경초등학교,36.624743538,127.4436190711,충청북도 청주시 흥덕구 장구봉로 93,N
176,강서초등학교,36.6284014,127.423198,충청북도 청주시 흥덕구 비하로9번길 38,N
177,개신초등학교,36.6360201,127.4539173,충청북도 청주시 서원구 신율로 20,N
178,경덕초등학교,36.620504,127.437973,충청북도 청주시 흥덕구 장구봉로 36,N
179,경산초등학교,36.625417,127.4405031,충청북도 청주시 흥덕구 경산로 82-12,N
180,교동초등학교,36.61041,127.51087,충청북도 청주시 상당구 용암로 6,N
181,금천초등학교,36.6272928,127.5057274,충청북도 청주시 상당구 수영로 248,N
182,남성초등학교,36.6082442,127.4836861,충청북도 청주시 서원구 청남로 1964,N
183,남평초등학교,36.611756,127.489057,충청북도 청주시 서원구 월평로 35,N
184,내곡초등학교,36.660199,127.428888,충청북도 청주시 흥덕구 내곡로 6,Y
185,청주내덕초등학교,36.6560759,127.4951203,충청북도 청주시 청원구 안덕벌로52번길 22-1,N
186,청주대성초등학교,36.653836,127.489816,충청북도 청주시 청원구 대성로300번길 34,N
187,덕벌초등학교,36.6554292151,127.4791774709,충청북도 청주시 청원구 1순환로339번길 86,N
