,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소,new위도,new경도
185,충북,오창초 가좌분교장,2008,청주,초,미활용,청주시 청원구 오창읍 가좌리 129,36.7358814,127.3666520
221,충북,청성초 능월분교,2009,옥천,초,매각,옥천군 청성면 도장리 496,36.3735541,127.7336655
183,충북,영춘초 의풍분교장,2009,단양,초,대부,단양군 영춘면  의풍리760,37.0661696,128.6123471
179,충북,엄정초 목계분교장,2009,충주,초,대부,충주시 엄정면 목계리 111,37.0813094,127.8903377
241,충북,칠성초 외사분교장,2009,괴산증평,초,매각,괴산군 칠성면 외사리 152,36.7697868,127.8399199
9,충북,가곡초,2009,단양,초,매각, 단양군 가곡면 사평리 467,37.0241593,128.3841019
39,충북,남일초 두산분교장,2010,청주,초,자체활용,청주시 상당구 남일면 두산리 106-1,36.5574828,127.5398626
80,충북,문광초 덕평분교장,2011,괴산증평,초,매각,괴산군 청천면 덕평리 280,36.7305067,127.7969851
37,충북,남신초 덕생분교,2012,음성,초,미활용,음성군 음성읍 삼생리 94,36.9141514,127.6233130
190,충북,외천초 ,2012,청주,초,자체활용,청주시 서원구 남이면 부용외천리 290,36.5412721,127.4328503
206,충북,이원초 지탄분교장,2012,옥천,초,대부,옥천군 이원면 지탄리 734-5,36.2439335,127.6822196
2,충북,(구)내북초,2013,보은,초,대부,보은군 내북면 동산리 119,36.5786253,127.6577191
48,충북,노은초 수상분교장,2013,충주,초,자체활용,충주시 노은면 안락리 119-1,37.0512760,127.7154732
27,충북,구)동명초,2013,제천,초,매각,제천시 명동 68,37.1356967,128.2083247
103,충북,보광초 화곡분교장,2013,괴산증평,초,매각,괴산군 사리면 이곡리 452,36.7998644,127.7121996
120,충북,삼수초 매산분교장,2013,진천,초,매각,진천군 덕산읍 산수리 465-1,36.8858074,127.4810123
5,충북,(구)옥동초,2014,진천,초,자체활용,진천군 덕산읍 옥동리 359-2,36.8885129,127.5088843
61,충북,대성초,2014,옥천,초,대부,옥천군 이원면 의평리 276-2,36.2129784,127.6302212
29,충북,구)중앙초,2015,청주,초,매각, 청주시 상당구 문화동 4,36.6355399,127.4929921
233,충북,추산초,2017,괴산증평,초,미활용,괴산군 불정면 추산리 545-2,36.9025041,127.8176060
58,충북,대강초 장정분교장,2017,단양,초,미활용,단양군 대강면 장정리 30,36.8465077,128.3955754
7,충북,(구)중앙탑초,2018,충주,초,자체활용,충주시 중앙탑면 탑평리 212-1,37.0267955,127.8553586
159,충북,수정초 삼가분교장,2018,보은,초,매각,보은군 속리산면 삼가리 140,36.4912088,127.8604091
85,충북,미봉초,2018,영동,초,대부,영동군 양강면 유점리 697-3,36.1274095,127.7269857
188,충북,옥산초 소로분교장,2019,청주,초,매각, 청주시 흥덕구 옥산면 소로리 313-1,36.6883820,127.4041056
18,충북,강천초,2019,충주,초,대부,충주시 앙성면 목미리 89-2,37.1625683,127.7522043
141,충북,소이초 대장분교,2019,음성,초,대부,음성군 소이면 대장리 344-4,36.9335565,127.7528033
55,충북,단천초 가산분교장,2019,단양,초,미활용,단양군 단성면 가산리 290,36.8935222,128.3055497
26,충북,구)내곡초,2019,청주,초,매각, 청주시 흥덕구 내곡동 10-2,36.6602104,127.4285534
28,충북,구)상신초,2019,진천,초,미활용,진천군 이월면 신월리 317-16,36.9236428,127.4665931
40,충북,남한강초,2020,충주,초,자체활용,충주시 문화동 1924,36.9694027,127.9263320
167,충북,야동초,2020,충주,초,대부,충주시 소태면 야동리 487,37.0999429,127.8776065
62,충북,대소원초,2020,충주,초,자체활용,충주시 대소원면 본리 569-15,36.9751883,127.8255099
207,충북,입석초,2021,제천,초,대부,제천시 송학면 입석리 609-2,37.1996127,128.2935846
3,충북,(구)복대초 ,2023,청주,초,자체활용,청주시 흥덕구 복대동 709-4,36.6291447,127.4478426
49,충북,능산초,2023,음성,초,미활용,음성군 삼성면 능산리 203,37.0393903,127.5381726
