,목록키,목록명,목록설명,조회수,분류체계,기관코드,기관명,국가중점여부,목록 수정일,목록 URL,다운로드_활용신청건수,키워드,데이터 확장자,관리 부서명
5798,15037294,한국교육학술정보원_학원교습소정보,"개설되어있는 학원 및 교습소의 학원명, 휴원일자, 등록상태, 정원, 분야, 계열 및 과정등을 확인할 수 있으며 수강료 공개여부에 따라 수강료 내용을 확인할 수 있습니다.",4479,교육 - 유아및초·중등교육,B550629,한국교육학술정보원,N,2024-12-10,https://www.data.go.kr/data/15037294/fileData.do,643.0,"학원,교습소,교습과정",CSV,나이스학교운영부
17346,15134766,경기도교육청_경기이룸대학 설문지,"경기이룸대학에서 강의 완료 후  강의를 수강한 재학생 및 학교밖청소년을  대상으로 강의에 대해 만족도, 개선점, 환견, 강의내용 등을 설문하는 질문 내용입니다.",219,교육 - 유아및초·중등교육,7530000,경기도교육청,N,2024-09-02,https://www.data.go.kr/data/15134766/fileData.do,17.0,"경기이룸대학,만족도조사,설문",csv,지역교육담당관
5746,15113290,한국교육학술정보원_학교알리미_항목별 공시정보,"항목별 공시정보는 연도별 학교현황, 교원활동, 교육활동, 교육여건, 예결산현황, 학업성취사항 등 학교알리미에서 제공하는 정보를 항목별로 확인할 수 있습니다.",1096,교육 - 유아및초·중등교육,B550629,한국교육학술정보원,N,2024-12-10,https://www.data.go.kr/data/15113290/fileData.do,103.0,"학교현황,입학생 현황,성별 학생수",xls,데이터공시부
18672,15133838,경기도교육청_고등학교 신입생 전형요강,"경기도교육청 고등학교 신입생 전형업무 추진 일정, 유의사항, 평준화 및 비평준화 공립고등학교, 특성화고, 특수목적고, 자율형 사립고 입학전형 요강입니다.",274,교육 - 유아및초·중등교육,7530000,경기도교육청,N,2024-08-28,https://www.data.go.kr/data/15133838/fileData.do,50.0,"고등학교입학,전형방법,신입학",pdf,진로직업교육과
5763,15090215,한국교육학술정보원_학교알리미_지역별 공시정보,학교알리미는 초중등학교 정보공시제를 통한 교육의 투명성 제고 및 국민의 알 권리 보장을 위해 학교의 주요 정보들을 제공하고 있습니다. 지역별 공시정보를 제공합니다.<br/>,2001,교육 - 유아및초·중등교육,B550629,한국교육학술정보원,N,2024-12-10,https://www.data.go.kr/data/15090215/fileData.do,194.0,"정보공시,교육,지역정보",xlsx,데이터공시부
3420,15049651,국가평생교육진흥원_평생교육사 자격증 신청기관,2023.01.01.~2023.12.31(발급일 기준) 평생교육사 자격증을 신청한 기관에 관한 정보입니다.,2982,교육 - 평생·직업교육,B552881,국가평생교육진흥원,N,2025-01-14,https://www.data.go.kr/data/15049651/fileData.do,789.0,"평생교육사,신규발급,양성기관",csv,평생교육사자격실
1183,15126454,전라남도교육청_학원교습소현황,"전남의 학원 및 교습소의 정원, 교습기간, 총교습시간(분), 교습비세부내역, 기타경비 세부내역 공개 등의 항목을 제공합니다.",1128,교육 - 평생·직업교육,8490000,전라남도교육청,N,2025-02-12,https://www.data.go.kr/data/15126454/fileData.do,227.0,"학원,교습소,교습비",csv,행정과
22273,15108529,인천광역시교육청_평생교육시설정보,"「평생교육법」에 따라 교육청이 관리하는 대상 평생교육시설에 대한 정보를 제공합니다.<br/>학력인정 평생교육시설과 학력미인정 평생교육시설에 대한 정보 제공, 기관명, 위치, 평생교육시설 지정기간 등 제공<br/>",265,교육 - 평생·직업교육,7310000,인천광역시교육청,N,2024-08-19,https://www.data.go.kr/data/15108529/fileData.do,75.0,"평생교육,평생시설,학력인정",hwpx,정보지원과
23719,15049652,국가평생교육진흥원_평생교육사 신규 자격증 발급 일정,평생교육사 자격증 발급 신청서류를 접수 받는 대학 및 학점은행제 교육훈련기관의 2024년 평생교육사  신규 자격증 발급 일정 안내,2193,교육 - 평생·직업교육,B552881,국가평생교육진흥원,N,2024-08-13,https://www.data.go.kr/data/15049652/fileData.do,610.0,"평생교육사,신규발급,발급일정",csv,평생교육사자격실
3419,15039857,국가평생교육진흥원_평생교육사 홈페이지 내 실습기관 유형별 현황,평생교육사 홈페이지(https://lledu.nile.or.kr/)를 통해 모집 중인 평생교육 현장실습 기관의 유형별 현황 안내,2587,교육 - 평생·직업교육,B552881,국가평생교육진흥원,N,2025-01-14,https://www.data.go.kr/data/15039857/fileData.do,704.0,"평생교육사,평생교육실습,실습기관",csv,평생교육사자격실
