,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025)
174,충청북도 청주시,산성초등학교,0.818349110316294,0.8439318809727246,0.9493087557603688,0.03397612488521579,0.7771149674620391
175,충청북도 청주시,상당초등학교,0.8785967424431786,0.8654478045999446,0.9493087557603688,0.03397612488521579,0.21963123644251625
176,충청북도 청주시,상봉초등학교,0.8157133908156025,0.8758992700431308,0.9493087557603688,0.0,0.015184381778741865
177,충청북도 청주시,새터초등학교,0.8402925997356152,0.8539405729780644,0.9493087557603688,0.0,0.27548806941431675
178,충청북도 청주시,샛별초등학교,0.8408193521401008,0.8468162312888589,0.9493087557603688,0.0,0.41973969631236446
179,충청북도 청주시,생명초등학교,0.7347653635211775,0.8338101779756885,0.9493087557603688,0.03397612488521579,0.43980477223427333
180,충청북도 청주시,서경초등학교,0.8417298581483115,0.8729519743184357,0.9493087557603688,0.13590449954086317,0.3617136659436009
181,충청북도 청주시,서원초등학교,0.8256667328497397,0.8193691055023307,0.9493087557603688,0.06795224977043159,0.11171366594360088
182,충청북도 청주시,서촌초등학교,0.8223766784202966,0.8948555358912205,0.9493087557603688,0.0,0.023318872017353578
183,충청북도 청주시,서현초등학교,0.8150642846628523,0.8375824814376415,0.9493087557603688,0.06795224977043159,0.5851409978308026
184,충청북도 청주시,석교초등학교,0.7586192255532089,0.7686443025851054,0.9493087557603688,0.0,0.1393709327548807
185,충청북도 청주시,석성초등학교,0.8226162798738038,0.8939166046777955,0.9493087557603688,0.0,0.015184381778741865
186,충청북도 청주시,성화초등학교,0.8591072155103193,0.8584444257758369,0.9493087557603688,0.06795224977043159,0.37093275488069416
187,충청북도 청주시,솔밭초등학교,0.8090986860810376,0.8383026241235657,0.9493087557603688,0.0,1.0
188,충청북도 청주시,수곡초등학교,0.8039644398970242,0.8230781879700899,0.9493087557603688,0.03397612488521579,0.26409978308026033
189,충청북도 청주시,수성초등학교,0.8338411553105967,0.8656339456070465,0.9493087557603688,0.0,0.31941431670282
190,충청북도 청주시,수성초등학교구성분교장,0.8148333389326857,0.8678219252351272,0.9493087557603688,0.0,0.0113882863340564
191,충청북도 청주시,신송초등학교,0.8562262552285521,0.8659980394632094,0.9493087557603688,0.0,0.02006507592190889
192,충청북도 청주시,양청초등학교,0.84812170666766,0.8615143715876177,0.9493087557603688,0.0,0.2505422993492408
193,충청북도 청주시,오송솔미초등학교,,,0.9493087557603688,0.0,
194,충청북도 청주시,오송초등학교,0.7660325840417306,0.7961133164252219,0.9493087557603688,0.0,0.10303687635574839
195,충청북도 청주시,오창초등학교,0.7941732046704327,0.8289846526014812,0.9493087557603688,0.0,0.10140997830802603
196,충청북도 청주시,옥산초등학교,0.8399002332772258,0.8276764197363978,0.9493087557603688,0.0,0.17678958785249457
197,충청북도 청주시,옥포초등학교,0.878927586617432,0.9204389665357593,0.9493087557603688,0.0,0.013015184381778743
198,충청북도 청주시,용담초등학교,0.8601361980980614,0.8557710109408763,0.9493087557603688,0.0,0.13991323210412146
199,충청북도 청주시,용담초등학교현양원분교장,0.8036111170498181,0.8534736473823615,0.9493087557603688,0.0,0.009219088937093277
200,충청북도 청주시,용성초등학교,0.8859823694312843,0.8560314616171437,0.9493087557603688,0.03397612488521579,0.4181127982646421
201,충청북도 청주시,용아초등학교,0.6924561273256926,0.784132372555334,0.9493087557603688,0.03397612488521579,0.6838394793926248
202,충청북도 청주시,용암초등학교,0.8622010080822954,0.8467201618756877,0.9493087557603688,0.06795224977043159,0.3091106290672451
203,충청북도 청주시,우암초등학교,0.8433818912701356,0.8495493869245743,0.9493087557603688,0.03397612488521579,0.10140997830802603
204,충청북도 청주시,운동초등학교,0.10370926231880695,0.7052115517446984,0.9493087557603688,0.06795224977043159,0.34110629067245124
205,충청북도 청주시,운천초등학교,0.8132805084515867,0.8324680609327259,0.9493087557603688,0.03397612488521579,0.2537960954446855
206,충청북도 청주시,원봉초등학교,0.8449047824912836,0.8437177034402259,0.9493087557603688,0.06795224977043159,0.28308026030368766
207,충청북도 청주시,원평초등학교,0.8441329789783635,0.8547030489238843,0.9493087557603688,0.10192837465564737,0.2678958785249458
208,충청북도 청주시,율량초등학교,0.8273248278593112,0.8416625973159562,0.9493087557603688,0.06795224977043159,0.3031453362255966
209,충청북도 청주시,주성초등학교,0.7880490446174654,0.8307697303251037,0.9493087557603688,0.0,0.11876355748373103
