,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025),SCR(2025),폐교위험등급
167,충청북도 청주시,북일초등학교,-0.16558345225037666,-0.28220449158004807,0.9724369426843679,-0.6249001262617193,-0.7352446652475005,0.4329496274304243,정상
131,충청북도 진천군,학성초등학교,0.23741477752381684,0.454850406706593,1.0555723431553976,-0.6249001262617193,-0.656584914739571,0.41815783209882884,정상
148,충청북도 청주시,낭성초등학교,-0.015843011856389876,-0.17859126381719373,0.9724369426843679,-0.6249001262617193,-0.6891337770187143,0.41633531410611296,정상
261,충청북도 충주시,충주삼원초등학교,0.2815803486100105,0.09144195030057553,-0.08061146328200819,2.8904356489703518,-0.19547603245170853,0.41566209125371123,정상
241,충청북도 충주시,동량초등학교,-0.6328672272330215,-0.42231263894814786,-0.08061146328200819,-0.6249001262617193,-0.7108330185381431,0.41121925969880757,정상
145,충청북도 청주시,남이초등학교,0.40762303945508493,0.39397896446306296,0.9724369426843679,-0.6249001262617193,-0.6050492161309275,0.4040878195976499,정상
121,충청북도 진천군,문백초등학교,-0.10012850223153069,0.15090385325901756,1.0555723431553976,-0.6249001262617193,-0.6864213718287856,0.40002998134509804,정상
160,충청북도 청주시,미원초등학교,-0.009118892826881022,0.2778799789934521,0.9724369426843679,-0.6249001262617193,-0.6620097251194282,0.39679916946518945,정상
155,충청북도 청주시,동화초등학교,0.1191769249276226,0.468651775916925,0.9724369426843679,-0.6249001262617193,-0.6403104835999994,0.3959202364561583,정상
240,충청북도 충주시,덕신초등학교,-0.238205622796131,0.4032885460966587,-0.08061146328200819,-0.6249001262617193,-0.6267484576503564,0.3955152315653944,정상
229,충청북도 청주시,행정초등학교,-0.49576982246248746,-0.3019621973752163,0.9724369426843679,-0.6249001262617193,-0.7379570704374291,0.3953615668974174,정상
65,충청북도 옥천군,죽향초등학교,0.33224870431557874,0.13741254335075753,-1.2722188700334345,2.4719432947760573,-0.11410387675385043,0.38681415916701356,정상
259,충청북도 충주시,충주대림초등학교,0.2513803795151807,-0.22996045322934497,-0.08061146328200819,2.1092499211410027,-0.23616211030063755,0.3800577951226805,정상
137,충청북도 청주시,강내초등학교,-0.09574604299249587,-0.10689520289215994,0.9724369426843679,-0.6249001262617193,-0.6511601043597138,0.37826669587552997,정상
170,충청북도 청주시,비상초등학교,-0.09327121211927938,-0.0619823095972897,0.9724369426843679,-0.6249001262617193,-0.6484476991697852,0.3765293716878694,정상
